L1,L2,L3,L4
645.3277778,468.6875,440.7013889,576.6
652.4902778,406.9944444,449.5444444,578.6583333
640.6569444,477.0263889,479.3666667,604.7736111
652.8861111,482.675,464.9958333,501.2875
709.1027778,547.8833333,496.6597222,580.5791667
613.8527778,413.2902778,421.125,573.5291667
722.5847222,545.7,440.875,624.2458333
652.1208333,518.1402778,462.9027778,582.0527778
631.4277778,555.5888889,441.4625,584.3555556
706.4652778,455.4388889,429.4263889,572.2944444
589.6611111,411.3291667,443.6,609.5583333
652.4819444,465.3916667,469.1138889,624.1027778
593.0208333,478.2680556,428.4125,611.5305556
739.6597222,459.6958333,445.3,571.7638889
823.6777778,499.0652778,477.25,623.7277778
643.2277778,473.0583333,416.55,592.575
602.3319444,463.4125,451.4125,565.3652778
668.9875,478.8166667,391.4833333,610.5708333
722.9875,507.4291667,510.0763889,573.9388889
632.6986111,493.1472222,438.2541667,579.4625
689.2944444,444.4166667,433.2375,597.9638889
616.0444444,433.7458333,431.2375,600.4555556
751.225,555.3069444,460.5125,611.6625
