12,14,20,25,35,35
11,15,21,24,35,37
12,14,22,26,33,35
12,14,26,29,37,37
12,13,21,24,32,36
11,15,22,26,33,36
12,15,21,27,32,37
13,14,24,27,34,38
13,16,23,31,36,39
13,15,24,29,38,44
13,15,21,25,32,35
13,15,21,24,32,36
12,15,21,24,35,35
13,14,21,25,34,39
12,13,20,22,31,38
12,13,20,24,31,37
12,13,20,23,31,36
12,13,20,25,31,36
11,14,19,23,31,34
11,14,19,22,29,33
11,14,22,23,33,39
12,13,20,22,32,37
12,12,20,24,31,38
11,14,20,23,32,38
11,13,20,23,29,35
11,14,18,23,32,35
11,13,19,21,29,34
12,13,21,23,31,38
12,13,19,22,29,33
11,13,19,22,31,32
12,13,21,23,34,36
12,14,21,23,30,35
12,13,19,23,33,34
12,15,20,25,31,35
12,15,21,24,32,38
11,14,19,23,34,34
11,13,19,23,30,33
10,15,21,25,35,37
12,13,21,23,35,36
12,12,19,23,34,37
12,14,19,22,26,35
10,14,20,23,31,36
11,13,19,24,33,36
12,12,21,23,32,39
11,13,20,24,32,36
11,13,20,24,32,42
10,13,19,22,31,37
11,13,19,23,33,36
11,13,20,23,32,38
10,13,18,21,30,35
